Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
916,World of Warcraft: Battle for Azeroth,PC,2018,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,3.4,3.4
917,FIFA Soccer 2003,PS2,2002,Sports,EA Sports  ,EA Canada  ,,,0.46,2.28,0.05,0.61,3.4,,3.4
918,Spintires,Series,2014,Simulation,IMGN PRO  ,Saber Interactive  ,,,,,,,,3.39,3.39
919,Crash Bash,PS,2000,Misc,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,6.8,,1.56,1.47,0.19,0.17,3.39,,3.39
920,Gears of War 4,XOne,2016,Shooter,Microsoft Studios  ,The Coalition  ,,,2.17,0.9,,0.32,3.38,,3.38
921,Mario Baseball,Series,2005,Sports,Nintendo  ,Namco  ,,,,,,,,3.37,3.37
922,Tekken: Dark Resurrection,PSP,2006,Fighting,Namco Bandai  ,8ing/Raizing  ,8.7,,,,,,,3.37,3.37
923,The Elder Scrolls V: Skyrim Special Edition,PS4,2016,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.3,,1.24,1.5,0.08,0.54,3.36,,3.36
924,Watch Dogs 2,PS4,2016,Action,Ubisoft  ,Ubisoft  ,,,0.98,1.74,0.12,0.52,3.36,,3.36
925,The Legend of Zelda: Majora's Mask,N64,2000,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,,,,,,3.36,3.36
926,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment  ,Iguana Entertainment  ,,,2.47,0.76,,0.13,3.36,,3.36
927,Yoshi's Island DS,DS,2006,Platform,Nintendo  ,Artoon  ,8.2,,,,,,,3.36,3.36
928,Jurassic Park,Series,1993,Action-Adventure,Ocean Software  ,Ocean Software  ,,,,,,,,3.35,3.35
929,Final Fantasy XIII-2,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,3.34,3.34
930,Assassin's Creed IV: Black Flag,X360,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,1.9,1.14,0.01,0.3,3.34,,3.34
931,NBA 2K18,PS4,2017,Sports,2K Sports  ,Visual Concepts  ,8.1,,2.13,0.57,0.04,0.59,3.34,,3.34
932,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,7.1,,,,,,,3.34,3.34
933,Rugrats: Search For Reptar,PS,1998,Adventure,THQ  ,n-Space  ,,,1.63,1.53,,0.18,3.34,,3.34
934,Luigi's Mansion,GC,2001,Action,Nintendo  ,Nintendo EAD  ,7.9,,,,,,,3.33,3.33
935,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts  ,Eurocom Entertainment Software  ,,,1.45,1.29,0.12,0.46,3.33,,3.33
