Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
2405,Borderlands: The Handsome Collection,PS4,2015,Shooter,2K Games  ,Gearbox Software  ,,,0.69,0.34,0.03,0.22,1.28,,1.28
2406,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment  ,Snowblind Studios  ,8.5,,0.63,0.49,,0.16,1.28,,1.28
2407,Project CARS,PS4,2015,Racing,Bandai Namco Games  ,Slightly Mad Studios  ,,,0.29,0.76,0.04,0.19,1.28,,1.28
2408,Yakuman,GB,1989,Misc,Nintendo  ,Intelligent Systems  ,,,,,,,,1.28,1.28
2409,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft  ,Virtual Toys / Lexis Numerique  ,,,0.55,0.59,,0.14,1.28,,1.28
2410,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts  ,EA Black Box  ,6.4,,0.45,0.66,0.02,0.15,1.28,,1.28
2411,Army Men 3D,PS,1999,Action,3DO  ,3DO  ,,,1.1,0.14,,0.04,1.28,,1.28
2412,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.5,0.56,0.01,0.21,1.28,,1.28
2413,Twisted Metal 4,PS,1999,Racing,989 Studios  ,989 Studios  ,6.7,,1.07,0.16,,0.04,1.28,,1.28
2414,Manhunt,PS2,2003,Action,Rockstar Games  ,Rockstar North  ,8,,0.63,0.49,,0.16,1.28,,1.28
2415,Fez,PC,2013,Platform,Trapdoor  ,Polytron Corporation  ,,,,,,,,1.28,1.28
2416,Pillars of Eternity,PC,2015,Role-Playing,Paradox Interactive   ,Obsidian Entertainment  ,,,,,,,,1.28,1.28
2417,Silent Hill 2,PS2,2001,Action,Konami  ,KCET  ,,,0.62,0.49,,0.16,1.28,,1.28
2418,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision  ,Vicarious Visions  ,,,1.03,0.14,,0.1,1.27,,1.27
2419,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts  ,Maxis  ,7.5,,1.22,0.05,,,1.27,,1.27
2420,Castlevania: Symphony of the Night,PS,1997,Platform,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,9,0.58,0.4,0.21,0.08,1.27,,1.27
2421,LEGO Batman: The Videogame,PS2,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.6,,0.72,0.03,,0.52,1.27,,1.27
2422,Road Rash,PS,1995,Racing,Electronic Arts  ,Advanced Technology Group  ,,,0.71,0.48,,0.08,1.27,,1.27
2423,Atlantis,2600,1982,Shooter,Imagic  ,Imagic  ,,,1.18,0.08,,0.01,1.27,,1.27
2424,Tales of Eternia,All,N/A,Role-Playing,Unknown  ,Wolf Team  ,,,,,,,,1.27,1.27
2425,NBA 2K9,X360,2008,Sports,2K Sports  ,Visual Concepts  ,8.3,,1,0.16,,0.11,1.27,,1.27
2426,WWE '12,X360,2011,Fighting,THQ  ,"Yuke's Co., Ltd.  ",7.5,,0.74,0.4,0,0.12,1.27,,1.27
2427,Tony Hawk's Underground,XB,2003,Sports,Activision  ,Neversoft Entertainment  ,,,0.85,0.37,,0.05,1.27,,1.27
2428,Hogan's Alley,NES,1985,Shooter,Nintendo  ,Intelligent Systems  ,,,,,,,,1.27,1.27
2429,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo  ,Camelot Software Planning  ,8.1,,,,,,,1.27,1.27
2430,Pikmin 3,WiiU,2013,Strategy,Nintendo  ,Nintendo EAD  ,8.7,,,,,,,1.27,1.27
2431,WWE '13,X360,2012,Misc,THQ  ,Unknown  ,,,0.72,0.44,,0.11,1.27,,1.27
2432,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Majesco  ,3G Studios  ,,,0.96,0.2,,0.11,1.27,,1.27
2433,Destiny: The Taken King,XOne,2015,Shooter,Activision  ,Bungie  ,,,0.91,0.23,,0.12,1.27,,1.27
2434,.hack//Infection Part 1,PS2,2003,Role-Playing,Bandai  ,CyberConnect2  ,7.7,,0.49,0.38,0.26,0.13,1.27,,1.27
2435,EA Sports Active 2,Wii,2010,Sports,Electronic Arts  ,EA Vancouver  ,8,,0.76,0.4,,0.11,1.27,,1.27
2436,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts  ,Ghost Games  ,,,0.33,0.69,0.05,0.19,1.27,,1.27
2437,Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games  ,From Software  ,,,,,,,,1.27,1.27
2438,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.62,0.48,,0.16,1.27,,1.27
2439,Battle Arena Toshinden,PS,1995,Fighting,Sony Computer Entertainment  ,Tamsoft  ,,,0.39,0.26,0.53,0.08,1.27,,1.27
2440,Rockstar Games presents Table Tennis,Wii,2007,Sports,Rockstar Games  ,Rockstar San Diego  ,6.8,,0.39,0.73,,0.15,1.26,,1.26
2441,Devil Dice,PS,1998,Puzzle,THQ  ,Shift  ,,,0.05,0.03,1.1,0.08,1.26,,1.26
2442,LEGO Harry Potter: Years 5-7,Wii,2011,Action,Warner Bros. Interactive  ,Traveller's Tales  ,,,0.7,0.44,,0.12,1.26,,1.26
2443,Brian Lara Cricket,PS,1998,Sports,Codemasters  ,Codemasters  ,,,0.02,1.13,0.01,0.1,1.26,,1.26
2444,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive  ,Sports Interactive  ,,,,1.15,,0.11,1.26,,1.26
2445,Dark Souls,X360,2011,Role-Playing,Namco Bandai  ,From Software  ,9.1,,,,,,,1.26,1.26
2446,Pokémon Mystery Dungeon: Rescue Team DX,NS,2020,Role-Playing,Nintendo  ,Spike Chunsoft  ,,,,,,,,1.26,1.26
2447,Tomb Raider: Underworld,PS3,2008,Adventure,Eidos Interactive  ,Crystal Dynamics  ,7.8,,0.45,0.55,0.05,0.21,1.26,,1.26
2448,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive  ,Artech Studios  ,,,0.99,0.22,,0.04,1.26,,1.26
2449,Football Manager 2011,PC,2010,Sports,Sega  ,Sports Interactive  ,8.9,,,1.01,,0.24,1.26,,1.26
2450,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment  ,Slant Six Games  ,6.3,,0.94,0.17,0.02,0.14,1.26,,1.26
2451,Far Cry 4,PS3,2014,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,0.35,0.63,0.09,0.19,1.26,,1.26
2452,Kung Fu Panda,DS,2008,Platform,Activision  ,Vicarious Visions  ,,,0.56,0.56,,0.14,1.26,,1.26
2453,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft  ,Griptonite Studio  ,6.3,,0.43,0.5,0.05,0.28,1.26,,1.26
2454,NBA Live 2001,PS,2000,Sports,EA Sports  ,EA Canada  ,,,0.7,0.47,,0.08,1.25,,1.25
2455,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts  ,Krome Studios  ,,,0.49,0,0.01,0.75,1.25,,1.25
2456,Combat,2600,2077,Action,Atari  ,Atari  ,,,1.17,0.07,,0.01,1.25,,1.25
2457,Dead or Alive 4,X360,2005,Fighting,Tecmo  ,Team Ninja  ,8.6,,,,,,,1.25,1.25
2458,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Bandai  ,TOSE  ,,,,,1.25,0,1.25,,1.25
2459,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Bandai  ,Bandai  ,,,,,1.25,0,1.25,,1.25
2460,PokéPark Wii: Pikachu's Adventure,Wii,2010,Adventure,Nintendo  ,Creatures Inc.  ,,,,,,,,1.25,1.25
2461,Resident Evil Zero,GC,2002,Action,Capcom  ,Capcom Production Studio 3 / Flagship  ,8.2,,,,,,,1.25,1.25
2462,Reel Fishing,PS,1998,Sports,Natsume  ,Pack-In Video  ,,,0.99,0.13,0.1,0.04,1.25,,1.25
2463,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts  ,Electronic Arts  ,8.4,,1,0.13,0.02,0.1,1.25,,1.25
2464,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft  ,Ubisoft  ,,,0.47,0.53,0.03,0.22,1.25,,1.25
2465,Black,PS2,2006,Shooter,Electronic Arts  ,Criterion Games  ,7.7,,1.01,0.04,0.03,0.16,1.25,,1.25
2466,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari  ,Chris Sawyer  ,7.3,,1.19,0.06,,,1.25,,1.25
2467,FIFA Street (2012),PS3,2012,Sports,EA Sports  ,EA Canada  ,,,0.13,0.91,,0.21,1.25,,1.25
2468,Ratatouille,DS,2007,Platform,THQ  ,Helixe  ,7,,0.49,0.62,,0.14,1.25,,1.25
2469,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,Conspiracy Entertainment  ,49Games  ,,,0.45,0.68,,0.12,1.25,,1.25
2470,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive  ,Core Design Ltd.  ,,,0.61,0.48,,0.16,1.25,,1.25
2471,Cars 2,DS,2011,Racing,Disney Interactive Studios  ,Avalanche Software  ,6.5,,0.68,0.41,0.04,0.12,1.25,,1.25
2472,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft  ,Ubisoft Shanghai  ,,,0.52,0.56,,0.17,1.25,,1.25
2473,Road Rash 3D,PS,1998,Racing,Electronic Arts  ,Electronic Arts  ,,,1.05,0.16,,0.04,1.25,,1.25
2474,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,VU Games  ,Snowblind Studios  ,,,0.61,0.48,,0.16,1.24,,1.24
2475,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive  ,Oddworld Inhabitants  ,8.3,,0.75,0.44,,0.06,1.24,,1.24
2476,LEGO The Lord of the Rings,X360,2012,Misc,Warner Bros. Interactive Entertainment  ,Unknown  ,,,0.64,0.5,,0.1,1.24,,1.24
2477,Ridge Racer V,PS2,2000,Racing,Namco  ,Namco  ,,,0.24,0.19,0.75,0.06,1.24,,1.24
2478,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts  ,EA DICE  ,,,0.73,0.39,0.01,0.11,1.24,,1.24
2479,WWE SmackDown vs. Raw 2009,PS2,2008,Sports,THQ  ,Yuke's Media Creations  ,,,0.69,0,,0.55,1.24,,1.24
2480,Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games  ,From Software  ,,,,,,,,1.24,1.24
2481,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,,,,,,1.24,1.24
2482,Tetris 2,GB,1993,Puzzle,Nintendo  ,Nintendo  ,,,,,,,,1.24,1.24
2483,[Prototype],PS3,2009,Action,Activision  ,Radical Entertainment  ,8.1,,0.65,0.41,,0.18,1.24,,1.24
2484,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,LucasArts  ,The Collective  ,,,0.82,0.38,,0.04,1.24,,1.24
2485,Transformers: Autobots / Decepticons,DS,2007,Action,Activision  ,Vicarious Visions  ,,,1.12,0.03,,0.09,1.24,,1.24
2486,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts  ,EA Black Box  ,7.8,,0.49,0.51,0.03,0.2,1.24,,1.24
2487,LEGO Batman 2: DC Super Heroes,PS3,2012,Action-Adventure,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.5,0.54,,0.19,1.23,,1.23
2488,Frogger: The Great Quest,PS2,2001,Platform,Konami  ,Konami  ,3,,0.6,0.47,,0.16,1.23,,1.23
2489,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive  ,Traveller's Tales  ,,,0.59,0.57,,0.07,1.23,,1.23
2490,Driv3r,PS2,2004,Racing,Atari  ,Reflections Interactive  ,,,0.6,0.47,,0.16,1.23,,1.23
2491,Guitar Hero: Aerosmith,X360,2008,Misc,Activision  ,Neversoft  ,,,1,0.13,,0.1,1.23,,1.23
2492,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment  ,Various  ,,,0.69,0.47,,0.08,1.23,,1.23
2493,2010 FIFA World Cup South Africa,PS3,2010,Sports,EA Sports  ,EA Canada  ,8.2,,0.3,0.64,0.07,0.22,1.23,,1.23
2494,Aliens vs Predator,PC,2010,Shooter,Sega  ,Rebellion Developments  ,6.2,,,,,,,1.23,1.23
2495,Spongebob Squarepants: Battle for Bikini Bottom,GBA,2003,Platform,THQ  ,Vicarious Visions  ,,,0.88,0.33,,0.02,1.23,,1.23
2496,Vigilante 8,PS,1998,Racing,Activision  ,"Luxoflux, Inc.  ",,,0.68,0.47,,0.08,1.23,,1.23
2497,Castlevania,NES,1987,Platform,Konami  ,Konami  ,,,0.54,0.06,0.62,0.01,1.23,,1.23
2498,Kirby Tilt 'n' Tumble,GB,2001,Puzzle,Nintendo  ,HAL Laboratory  ,,,,,,,,1.23,1.23
2499,Donkey Kong Country 2,GBA,2004,Platform,Nintendo  ,Rare Ltd.  ,7.6,,0.79,0.27,0.12,0.04,1.23,,1.23
2500,Ben 10: Protector of Earth,Wii,2007,Action,D3 Publisher  ,High Voltage Software  ,,,0.54,0.55,,0.13,1.23,,1.23
2501,Guitar Hero: Aerosmith,X360,2008,Misc,Activision  ,Neversoft  ,,,1,0.13,,0.1,1.23,,1.23
2502,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment  ,Various  ,,,0.69,0.47,,0.08,1.23,,1.23
2503,2010 FIFA World Cup South Africa,PS3,2010,Sports,EA Sports  ,EA Canada  ,8.2,,0.3,0.64,0.07,0.22,1.23,,1.23
2504,Aliens vs Predator,PC,2010,Shooter,Sega  ,Rebellion Developments  ,6.2,,,,,,,1.23,1.23
2505,Spongebob Squarepants: Battle for Bikini Bottom,GBA,2003,Platform,THQ  ,Vicarious Visions  ,,,0.88,0.33,,0.02,1.23,,1.23
2506,Vigilante 8,PS,1998,Racing,Activision  ,"Luxoflux, Inc.  ",,,0.68,0.47,,0.08,1.23,,1.23
2507,Castlevania,NES,1987,Platform,Konami  ,Konami  ,,,0.54,0.06,0.62,0.01,1.23,,1.23
2508,Kirby Tilt 'n' Tumble,GB,2001,Puzzle,Nintendo  ,HAL Laboratory  ,,,,,,,,1.23,1.23
2509,Donkey Kong Country 2,GBA,2004,Platform,Nintendo  ,Rare Ltd.  ,7.6,,0.79,0.27,0.12,0.04,1.23,,1.23
2510,Ben 10: Protector of Earth,Wii,2007,Action,D3 Publisher  ,High Voltage Software  ,,,0.54,0.55,,0.13,1.23,,1.23
2511,Star Wars Battlefront II,PSP,2005,Shooter,LucasArts  ,Savage Entertainment  ,6.9,,1.05,0.06,0.01,0.1,1.22,,1.22
2512,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment  ,Sony Computer Entertainment  ,7.4,,0.13,0.07,1,0.02,1.22,,1.22
2513,Game & Watch Gallery 2,GB,1998,Misc,Nintendo  ,Nintendo  ,,,,,,,,1.22,1.22
2514,Game & Watch Gallery 3,GB,1999,Misc,Nintendo  ,Nintendo  ,,,,,,,,1.22,1.22
2515,Kirby: Mass Attack,DS,2011,Platform,Nintendo  ,HAL Laboratory  ,8.4,,,,,,,1.22,1.22
2516,Naruto Shippuden: Ultimate Ninja Storm Generations,All,N/A,Fighting,Unknown  ,CyberConnect2  ,,,,,,,,1.22,1.22
2517,Pac-Man,NES,1993,Puzzle,Namco  ,Namco  ,,,0.27,0.08,0.85,0.02,1.22,,1.22
2518,WWE 2K17,PS4,2016,Sports,2K Games  ,Yuke's  ,,,0.32,0.7,,0.19,1.22,,1.22
2519,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist  ,Alchemist  ,,,0.59,0.46,0.01,0.15,1.22,,1.22
2520,NBA Live 99,PS,1998,Sports,EA Sports  ,NuFX  ,8.3,,1.13,0.05,,0.03,1.22,,1.22
2521,SimCity 2000,PS,1996,Simulation,Maxis  ,Maxis  ,,,0.68,0.46,,0.08,1.22,,1.22
2522,Slime Rancher,PC,2017,Simulation,Monomi Park  ,Monomi Park  ,,,,,,,,1.22,1.22
2523,Max Payne,XB,2001,Shooter,Rockstar Games  ,neo Software  ,8.6,,0.98,0.19,,0.05,1.22,,1.22
2524,WCW Mayhem,PS,1999,Fighting,Electronic Arts  ,Kodiak Interactive  ,,,0.68,0.46,,0.08,1.22,,1.22
2525,NBA 2K2,PS2,2002,Sports,Sega  ,Visual Concepts  ,,,0.59,0.46,0.01,0.15,1.22,,1.22
2526,NASCAR Thunder 2003,PS2,2002,Racing,EA Sports  ,EA Tiburon  ,,,0.6,0.46,,0.16,1.22,,1.22
2527,Cars,PS2,2006,Racing,THQ  ,Rainbow Studios  ,,,1.01,0.04,,0.16,1.21,,1.21
2528,Fuzion Frenzy,XB,2001,Misc,Microsoft  ,Blitz Games  ,,,0.93,0.24,,0.04,1.21,,1.21
2529,Call of Duty: Finest Hour,XB,2004,Shooter,Activision  ,Spark Unlimited  ,,,0.78,0.4,,0.04,1.21,,1.21
2530,Guitar Hero Live,PS4,2015,Music,Activision  ,FreeStyleGames  ,,,0.52,0.49,,0.2,1.21,,1.21
2531,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts  ,EA Los Angeles  ,,,0.25,0.7,0.03,0.24,1.21,,1.21
2532,Bayonetta,PS3,2010,Action,Sega  ,PlatinumGames  ,8.6,7.2,0.44,0.4,0.21,0.16,1.21,,1.21
2533,Just Dance 4,X360,2012,Music,Ubisoft  ,Ubisoft  ,,,0.9,0.19,,0.12,1.21,,1.21
2534,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment  ,Sucker Punch  ,,,1.03,0.14,,0.04,1.21,,1.21
2535,Star Wars Episode 1: Jedi Power Battles,PS,2000,Action,LucasArts  ,LucasArts  ,,,0.66,0.48,0.01,0.06,1.21,,1.21
2536,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega  ,Sega  ,7.3,,,,,,,1.21,1.21
2537,The Magical Quest starring Mickey Mouse (all region sales),SNES,1992,Platform,Capcom  ,Capcom  ,,,,,,,,1.21,1.21
2538,Need for Speed Underground,GC,2003,Racing,Electronic Arts  ,EA Black Box  ,,,0.69,0.48,0.01,0.03,1.21,,1.21
2539,FIFA 07 Soccer,PSP,2006,Sports,EA Sports  ,EA Canada  ,8,,0.25,0.64,,0.32,1.21,,1.21
2540,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,Majesco  ,Majesco Games  ,,,0.87,0.32,,0.02,1.21,,1.21
2541,Boom Blox,Wii,2008,Puzzle,Electronic Arts  ,EA Los Angeles  ,8.6,8.9,0.71,0.38,0,0.12,1.21,,1.21
2542,Cars,PSP,2006,Racing,THQ  ,Locomotive Games  ,7.4,,0.72,0.28,,0.2,1.21,,1.21
2543,FIFA Soccer 11,PSP,2010,Sports,EA Sports  ,HB Studios  ,7,,0.13,0.7,0.01,0.36,1.21,,1.21
2544,Test Drive 4,PS,1997,Racing,Accolade  ,Pitbull Syndicate  ,,,0.67,0.46,,0.08,1.21,,1.21
2545,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts  ,Maxis  ,,,0.44,0.63,,0.14,1.21,,1.21
2546,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2006,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8,,0.01,0.88,0.31,,1.2,,1.2
2547,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games  ,Surreal Software  ,,,0.59,0.46,,0.15,1.2,,1.2
2548,ATV Offroad Fury 3,PS2,2004,Racing,Sony Computer Entertainment  ,Climax Group  ,7.5,,1,0.04,,0.16,1.2,,1.2
2549,F1 2011,PS3,2011,Racing,Codemasters  ,Codemasters Birmingham  ,8.4,,0.12,0.75,0.11,0.23,1.2,,1.2
2550,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action-Adventure,Konami Digital Entertainment  ,Kojima Productions  ,7.6,,0.36,0.5,0.17,0.17,1.2,,1.2
2551,Minecraft: Story Mode,X360,2015,Adventure,Mojang  ,Telltale Games  ,,,0.67,0.42,,0.11,1.2,,1.2
2552,Mad Max (2013),PS4,2015,Action,Warner Bros. Interactive Entertainment  ,Avalanche Studios  ,,,0.38,0.59,0.05,0.19,1.2,,1.2
2553,Big Beach Sports,Wii,2008,Sports,THQ  ,HB Studios Multimedia  ,4.9,,,,,,,1.2,1.2
2554,Commando,Series,1985,Shooter,Capcom  ,Capcom  ,,,,,,,,1.2,1.2
2555,Devil May Cry HD Collection,All,N/A,Action,Unknown  ,Capcom  ,,,,,,,,1.2,1.2
2556,Dino Crisis 2,PS,2000,Action,Capcom  ,Capcom Production Studio 4  ,8.8,,,,,,,1.2,1.2
2557,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom  ,Capcom  ,,,,,,,,1.2,1.2
2558,DJ Hero,All,N/A,Music,Unknown  ,FreeStyle Games  ,,,,,,,,1.2,1.2
2559,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari  ,Spike / Bandai Namco Games  ,,,,,,,,1.2,1.2
2560,Dragon Ball Z: La Legende Saien,SNES,1994,Fighting,Bandai  ,TOSE  ,,,,,1.2,0,1.2,,1.2
2561,Final Fantasy,NES,1990,Role-Playing,Nintendo  ,Square  ,8.5,,,,,,,1.2,1.2
2562,Final Fantasy IV,DS,2008,Role-Playing,Square Enix  ,Matrix Software  ,8.5,9,,,,,,1.2,1.2
2563,Final Fantasy XII: The Zodiac Age,PS4,2017,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,,1.2,1.2
2564,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami  ,Konami  ,,,,,1.2,,1.2,,1.2
2565,Kingdom Hearts HD II.5 ReMIX,PS3,2014,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,,1.2,1.2
2566,NFL 2K,DC,1999,Sports,Sega  ,Visual Concepts  ,9.7,,1.12,0.05,,0.02,1.2,,1.2
2567,Ninja Gaiden,XB,2004,Action,Tecmo  ,Team Ninja  ,9.4,,,,,,,1.2,1.2
2568,Nioh 2,PS4,2020,Action,Sony Interactive Entertainment  ,Team Ninja  ,,,,,,,,1.2,1.2
2569,Parasite Eve II,PS,2000,Role-Playing,Square EA  ,SquareSoft  ,7.4,,,,,,,1.2,1.2
2570,Resident Evil Director's Cut: Dual Shock Edition,PS,1998,Action,Capcom  ,Capcom  ,,,,,,,,1.2,1.2
2571,Shenmue,DC,2000,Adventure,Sega  ,Sega-AM2  ,8.9,,,,,,,1.2,1.2
2572,SimCity,PC,1989,Simulation,Maxis  ,Maxis  ,,,,,,,,1.2,1.2
2573,SolarStriker,GB,1990,Shooter,Nintendo  ,Nintendo R&D1  ,,,,,,,,1.2,1.2
2574,Sonic and the Black Knight,Wii,2009,Platform,Sega  ,Sonic Team  ,4.8,8.5,,,,,,1.2,1.2
2575,Sonic Rush Adventure,DS,2007,Platform,Sega  ,Dimps Corporation  ,,,,,,,,1.2,1.2
2576,TwinBee,NES,1986,Shooter,Konami  ,Konami  ,,,,,1.2,,1.2,,1.2
2577,WWE 2K14,PS3,2013,Fighting,2K Sports  ,Yuke's  ,7.6,,0.49,0.51,,0.2,1.2,,1.2
2578,Hand Simulator,PC,N/A,Simulation,Unknown  ,HFM Games  ,,,,,,,,1.2,1.2
2579,Enter the Matrix,XB,2003,Action,Atari  ,Shiny Entertainment  ,,,0.72,0.43,0.01,0.04,1.2,,1.2
2580,NHL 2002,PS2,2001,Sports,EA Sports  ,EA Canada  ,,,0.59,0.46,,0.15,1.2,,1.2
2581,Shadow of the Colossus,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Bluepoint Games  ,9.3,,0.44,0.52,0.05,0.19,1.2,,1.2
2582,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment  ,Ready at Dawn  ,8.3,,,,,,,1.2,1.2
2583,Nuclear Strike,PS,1997,Simulation,Electronic Arts  ,Electronic Arts  ,,,0.66,0.45,,0.08,1.19,,1.19
2584,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega  ,Sega  ,6.5,,0.18,0.66,0.27,0.08,1.19,,1.19
2585,The Simpsons: Road Rage,GBA,2003,Racing,THQ  ,Altron  ,,,0.86,0.32,,0.02,1.19,,1.19
2586,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Action,THQ  ,Vicarious Visions  ,,,0.92,0.23,,0.04,1.19,,1.19
2587,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami  ,Konami  ,,,0.09,0.84,0.11,0.15,1.19,,1.19
2588,Scarface: The World is Yours,PS2,2006,Adventure,Sierra Entertainment  ,Radical Entertainment  ,,,0.99,0.04,,0.16,1.19,,1.19
2589,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami  ,Kojima Productions  ,8.7,,0.38,0.35,0.38,0.09,1.19,,1.19
2590,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios  ,Zoe Mode  ,,,0.77,0.31,,0.11,1.19,,1.19
2591,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo  ,Left Field Productions  ,,,,,,,,1.19,1.19
2592,Tecmo Super Bowl,NES,1991,Sports,Tecmo  ,Tecmo  ,,,,,,,,1.19,1.19
2593,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,SouthPeak Interactive  ,Sinister Games  ,,,0.99,0.16,,0.04,1.19,,1.19
2594,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ  ,Yuke's Media Creations  ,7.3,,0.45,0.47,,0.28,1.19,,1.19
2595,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Adventure,LucasArts  ,Traveller's Tales  ,,,0.65,0.43,,0.12,1.19,,1.19
2596,Hitman 2: Silent Assassin,XB,2002,Action,Eidos Interactive  ,IO Interactive  ,,,0.76,0.38,,0.05,1.19,,1.19
2597,Spider-Man: The Movie,GC,2002,Action,Activision  ,Treyarch  ,7.6,,0.86,0.27,0.01,0.04,1.19,,1.19
2598,Mortal Kombat Komplete Edition,PC,2013,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,,,,,,1.19,1.19
2599,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo  ,Square Enix  ,7.1,,0.64,0.24,0.29,0.02,1.19,,1.19
2600,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami  ,Konami Computer Entertainment Japan  ,6.8,,0.66,0.45,,0.08,1.18,,1.18
2601,LEGO Indiana Jones: The Original Adventures,PSP,2008,Adventure,LucasArts  ,Traveller's Tales  ,7.6,,0.4,0.49,,0.3,1.18,,1.18
2602,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.48,0.5,,0.2,1.18,,1.18
2603,Pole Position,2600,1983,Racing,Atari  ,Atari  ,,,1.1,0.07,,0.01,1.18,,1.18
2604,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts  ,Traveller's Tales  ,8,,0.52,0.47,,0.19,1.18,,1.18
2605,Donkey Konga,GC,2004,Misc,Nintendo  ,Namco  ,7.3,,,,,,,1.18,1.18
2606,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,Square Enix  ,SquareSoft  ,8.9,,,,,,,1.18,1.18
2607,Mario Tennis,GB,2001,Sports,Nintendo  ,Camelot Software Planning  ,,,,,,,,1.18,1.18
